,year,metro,id,sex,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
7208,2020,G2,391800331,1,58,5,5,2,36820,0,6951,5233,G,5,1,14
7209,2020,G2,391800341,1,54,1,4,1,330,80,4410,4186,F,7,4,12
7210,2020,G2,391900211,1,66,2,3,2,73570,250,4987,4657,,,1,9
7211,2020,G2,391900231,1,39,3,5,2,83160,37420,17514,12426,C,7,1,14
7212,2020,G2,391900321,1,53,4,5,2,32181,360,4648,3803,F,7,1,14
7213,2020,G2,391900331,2,80,1,1,3,120,0,549,548,,,5,0
7214,2020,G2,391900341,1,34,4,7,2,66600,4000,11676,9372,P,2,1,18
7215,2020,G2,392800211,1,63,3,4,2,399059,0,8801,8119,A,6,1,12
7216,2020,G2,392800221,1,55,1,6,1,18510,0,2115,1768,F,1,1,16
7217,2020,G2,392800251,1,61,3,6,2,61376,26100,6535,4464,L,1,5,16
7218,2020,G2,392800271,1,71,2,4,2,194700,300,3017,2443,,,1,12
7219,2020,G2,393800201,1,89,2,1,2,27250,0,1295,1264,A,6,1,0
7220,2020,G2,393800251,1,72,3,2,2,35390,0,6674,6172,O,9,3,6
7221,2020,G2,393800291,1,57,3,6,2,69878,7400,12463,9397,O,2,1,16
7222,2020,G2,394800201,1,44,4,6,2,177600,41544,14838,10518,O,2,1,16
7223,2020,G2,394800221,2,65,1,4,3,116326,3000,4339,2730,,,1,12
7224,2020,G2,394800231,1,34,1,6,1,20814,0,3653,3376,P,2,2,16
7225,2020,G2,394800241,2,29,1,6,1,12090,2400,5010,4087,P,2,2,16
7226,2020,G2,395800201,1,46,4,6,2,298156,127500,10109,4212,M,2,1,16
7227,2020,G2,395800271,1,61,3,6,2,89583,5590,9908,8413,E,1,1,16
7228,2020,G1,410000112,2,64,1,5,4,83900,0,3160,2867,,,1,14
7229,2020,G1,410000132,2,55,1,4,1,204950,150,1513,737,G,5,1,12
7230,2020,G1,410000162,1,38,4,7,2,161600,28486,7325,6066,I,4,1,18
7231,2020,G1,410000182,2,45,2,4,1,44120,4320,5929,4637,G,3,1,12
7232,2020,G1,410000192,1,50,3,6,2,165199,0,29673,26886,F,7,2,16
7233,2020,G2,410000212,1,76,2,3,2,26200,1500,2776,2471,I,4,1,9
7234,2020,G2,410000222,1,79,2,3,2,7100,0,1809,1802,,,1,9
7235,2020,G2,410000252,1,61,1,4,2,29780,700,3354,825,L,9,1,12
7236,2020,G2,410000262,2,73,1,3,3,128230,101500,6242,1431,Q,4,1,9
7237,2020,G2,410000272,1,66,3,3,2,27900,0,7457,6975,N,9,1,9
7238,2020,G2,410000282,1,84,2,4,2,30600,0,2749,2560,,,1,12
7239,2020,G2,410000292,1,55,3,6,2,33469,0,8705,7532,H,3,1,16
